# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2
0.0 3.452644946851071e-06 0.9999999600000018 0.9999999600000016 0.0 0.0 -0.21220322601268124 -0.21220322601268124 0.4999999996342718 0.4999999996342718 0.5000000000000006 0.5000000000000003
0.01 3.452616429132266e-06 0.9999742403686493 0.9999742403686491 0.0 0.0 -0.21220322601268124 -0.21220322601268124 0.4999999996342718 0.4999999996342718 0.5000000000000004 0.5000000000000004
0.02 3.452532135881586e-06 0.9998982824983211 0.9998982824983211 0.0 0.0 -0.2122021471846848 -0.21220214718468478 0.4999999996708418 0.4999999996708418 0.5000000000000003 0.5000000000000001
0.03 3.4523937920559157e-06 0.9997738265744454 0.9997738265744454 0.0 0.0 -0.21218909670355254 -0.21218909670355254 0.4999999998582558 0.4999999998582558 0.5000000000000004 0.5000000000000003
0.04 3.452203124920261e-06 0.9996025582861802 0.9996025582861802 0.0 0.0 -0.2121708353715222 -0.2121708353715222 0.4999999999504995 0.4999999999504995 0.5000000000000002 0.5000000000000003
0.05 3.4519616277871676e-06 0.9993861078686239 0.9993861078686239 0.0 0.0 -0.21214836557361325 -0.21214836557361325 0.4999999999843654 0.4999999999843654 0.5000000000000002 0.5000000000000002
0.06 3.451670666274544e-06 0.9991260365521698 0.9991260365521698 0.0 0.0 -0.21212011574571596 -0.21212011574571596 0.4999999999959073 0.4999999999959073 0.5000000000000002 0.5000000000000002
0.07 3.4513315242159874e-06 0.9988238823532184 0.9988238823532184 0.0 0.0 -0.2120890150378193 -0.2120890150378193 0.49999999999881617 0.49999999999881617 0.5000000000000002 0.5000000000000001
0.08 3.450945335646261e-06 0.9984810767018275 0.9984810767018275 0.0 0.0 -0.21205169754240746 -0.21205169754240746 0.49999999999959943 0.49999999999959943 0.5000000000000004 0.5000000000000002
0.09 3.450513212899611e-06 0.9980990764151513 0.9980990764151513 0.0 0.0 -0.21201180427861266 -0.2120118042786127 0.4999999999997388 0.4999999999997388 0.5000000000000004 0.5000000000000004
0.1 3.4500361125719045e-06 0.9976792152960391 0.9976792152960393 0.0 0.0 -0.2119670503045401 -0.2119670503045401 0.49999999999975475 0.49999999999975475 0.5000000000000002 0.5000000000000001
0.11 3.4495149535883746e-06 0.9972228197037053 0.9972228197037053 0.0 0.0 -0.2119181728621904 -0.2119181728621904 0.4999999999997531 0.4999999999997531 0.5000000000000004 0.5000000000000004
0.12 3.448950616483015e-06 0.9967311968671819 0.9967311968671819 0.0 0.0 -0.21186649849593303 -0.21186649849593303 0.49999999999972944 0.49999999999972944 0.5000000000000004 0.5000000000000004
0.13 3.4483438322266604e-06 0.9962055279752479 0.9962055279752479 0.0 0.0 -0.21181022676302128 -0.21181022676302125 0.4999999999997201 0.49999999999972006 0.5000000000000004 0.5000000000000003
0.14 3.4476953954062188e-06 0.9956470604508029 0.9956470604508029 0.0 0.0 -0.21175132421671894 -0.21175132421671894 0.4999999999996968 0.4999999999996968 0.5000000000000003 0.5000000000000003
0.15 3.4470059167111782e-06 0.9950568776873577 0.9950568776873577 0.0 0.0 -0.21168804637027797 -0.21168804637027797 0.4999999999996935 0.4999999999996935 0.5000000000000004 0.5000000000000004
0.16 3.4462761236320118e-06 0.9944361664688864 0.9944361664688864 0.0 0.0 -0.21162239435932184 -0.21162239435932184 0.4999999999996741 0.4999999999996741 0.5000000000000004 0.5000000000000004
0.17 3.4455065246243965e-06 0.9937859151352246 0.9937859151352249 0.0 0.0 -0.2115526093449564 -0.21155260934495643 0.4999999999996768 0.4999999999996768 0.5000000000000002 0.5000000000000002
