# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2 
0.0 3.45264492255132e-06 0.9999999600000016 0.9999999600000016 0.0 0.0 -0.2121973971986191 -0.21219739719861913 0.4999999999522139 0.4999999999522139 0.5000000000000003 0.5000000000000003
0.01 3.452630378833534e-06 0.9999868469241631 0.9999868469241631 0.0 0.0 -0.2121973971986191 -0.21219739719861913 0.4999999999522139 0.4999999999522139 0.4999999999999998 0.4999999999999997
0.02 3.4525870539353058e-06 0.9999477978843858 0.999947797884386 0.0 0.0 -0.2121973971986191 -0.21219739719861913 0.4999999999522139 0.4999999999522139 0.49999999999999956 0.4999999999999996
0.03 3.4525153781137007e-06 0.9998832419249224 0.9998832419249222 0.0 0.0 -0.2121973971986191 -0.21219739719861913 0.4999999999522139 0.4999999999522139 0.4999999999999998 0.4999999999999998
0.04 3.452415744218554e-06 0.9997935891691618 0.9997935891691618 0.0 0.0 -0.2121918714137971 -0.21219187141379714 0.49999999996862116 0.49999999996862116 0.4999999999999999 0.49999999999999994
0.05 3.4522885132562187e-06 0.9996792290256055 0.9996792290256057 0.0 0.0 -0.21217895633318856 -0.21217895633318856 0.49999999998643585 0.49999999998643585 0.5 0.4999999999999998
0.06 3.452134008739093e-06 0.9995405609326474 0.9995405609326474 0.0 0.0 -0.21216501611418875 -0.21216501611418875 0.49999999999409606 0.49999999999409606 0.4999999999999998 0.49999999999999967
0.07 3.4519525134587803e-06 0.9993779501173669 0.9993779501173669 0.0 0.0 -0.21214691386099058 -0.2121469138609906 0.49999999999786443 0.49999999999786443 0.4999999999999999 0.4999999999999999
0.08 3.451744296381888e-06 0.9991917776912743 0.9991917776912743 0.0 0.0 -0.21212773252367917 -0.21212773252367917 0.49999999999916933 0.49999999999916933 0.4999999999999999 0.49999999999999983
0.09 3.4515095788030996e-06 0.9989823874812143 0.9989823874812143 0.0 0.0 -0.21210543582005295 -0.21210543582005298 0.4999999999996402 0.4999999999996402 0.4999999999999998 0.4999999999999997
0.1 3.4512485615137725e-06 0.9987501252055925 0.9987501252055923 0.0 0.0 -0.21208042685322764 -0.21208042685322764 0.4999999999997913 0.4999999999997913 0.4999999999999999 0.4999999999999999
0.11 3.4509614333635138e-06 0.9984953407331778 0.9984953407331778 0.0 0.0 -0.2120539537871238 -0.2120539537871238 0.49999999999982125 0.49999999999982125 0.4999999999999999 0.4999999999999999
0.12 3.4506483221377273e-06 0.9982183367439751 0.9982183367439751 0.0 0.0 -0.21202424688982036 -0.21202424688982036 0.4999999999998242 0.4999999999998242 0.4999999999999996 0.4999999999999997
0.13 3.450309356394848e-06 0.9979194338581238 0.9979194338581238 0.0 0.0 -0.21199195787517702 -0.21199195787517702 0.499999999999826 0.499999999999826 0.4999999999999999 0.49999999999999983
0.14 3.449944663156592e-06 0.9975989620869058 0.9975989620869058 0.0 0.0 -0.21195832044412205 -0.21195832044412205 0.49999999999981526 0.49999999999981526 0.49999999999999983 0.4999999999999999
0.15 3.449554312508736e-06 0.9972572083176484 0.9972572083176482 0.0 0.0 -0.21192262724068325 -0.21192262724068325 0.49999999999979494 0.49999999999979494 0.4999999999999997 0.49999999999999967
0.16 3.4491383269617166e-06 0.9968944261778195 0.9968944261778198 0.0 0.0 -0.21188361130045444 -0.21188361130045444 0.4999999999997882 0.4999999999997882 0.4999999999999999 0.49999999999999994
0.17 3.4486967987617564e-06 0.9965109442099659 0.9965109442099659 0.0 0.0 -0.21184321778705306 -0.21184321778705306 0.49999999999977507 0.49999999999977507 0.49999999999999983 0.5
0.18 3.448229690597052e-06 0.9961069792877245 0.9961069792877245 0.0 0.0 -0.21179970528827471 -0.21179970528827471 0.4999999999997743 0.4999999999997743 0.49999999999999967 0.4999999999999998
0.19 3.447737071321571e-06 0.9956828529975846 0.9956828529975844 0.0 0.0 -0.2117549093463372 -0.2117549093463372 0.49999999999976363 0.49999999999976363 0.4999999999999998 0.4999999999999999
0.2 3.447218852903848e-06 0.995238752522101 0.995238752522101 0.0 0.0 -0.21170707254601634 -0.21170707254601634 0.4999999999997659 0.4999999999997659 0.4999999999999999 0.4999999999999998
0.21 3.4466750864700885e-06 0.9947749952600351 0.9947749952600351 0.0 0.0 -0.21165799758961937 -0.21165799758961937 0.49999999999975686 0.49999999999975686 0.49999999999999983 0.49999999999999983
0.22 3.4461056979604207e-06 0.9942917921825222 0.9942917921825222 0.0 0.0 -0.21160698371536033 -0.21160698371536033 0.4999999999997396 0.4999999999997396 0.4999999999999999 0.4999999999999998
0.23 3.4455105546083452e-06 0.9937893087206725 0.9937893087206725 0.0 0.0 -0.2115528622407235 -0.2115528622407235 0.49999999999974337 0.49999999999974337 0.4999999999999998 0.49999999999999983
0.24 3.4448896993540067e-06 0.9932678671453542 0.993267867145354 0.0 0.0 -0.21149757029633592 -0.21149757029633592 0.4999999999997352 0.4999999999997352 0.4999999999999999 0.4999999999999999
0.25 3.4442430062095284e-06 0.9927276458918923 0.9927276458918921 0.0 0.0 -0.2114403920453526 -0.2114403920453526 0.4999999999997192 0.4999999999997192 0.4999999999999999 0.49999999999999994
0.26 3.4435703710292516e-06 0.9921688459258217 0.9921688459258219 0.0 0.0 -0.21138123610899823 -0.21138123610899823 0.4999999999997008 0.4999999999997008 0.4999999999999999 0.4999999999999999
0.27 3.4428715887429647e-06 0.9915915847907084 0.9915915847907082 0.0 0.0 -0.2113190138650682 -0.2113190138650682 0.49999999999970923 0.49999999999970923 0.4999999999999998 0.4999999999999999
0.28 3.4421467074197156e-06 0.990996196711377 0.990996196711377 0.0 0.0 -0.2112557384529906 -0.2112557384529906 0.49999999999970285 0.49999999999970285 0.5 0.4999999999999999
0.29 3.4413955366013524e-06 0.9903828148595144 0.9903828148595144 0.0 0.0 -0.21119064680466113 -0.2111906468046611 0.4999999999996882 0.4999999999996882 0.4999999999999998 0.49999999999999994
0.3 3.4406179292958977e-06 0.9897516101693028 0.9897516101693028 0.0 0.0 -0.21112364902427072 -0.21112364902427072 0.49999999999967143 0.49999999999967143 0.49999999999999967 0.4999999999999999
0.31 3.4398136099124106e-06 0.9891026489858521 0.9891026489858521 0.0 0.0 -0.2110536547797195 -0.21105365477971952 0.49999999999968425 0.49999999999968425 0.4999999999999999 0.4999999999999997
0.32 3.438982649024765e-06 0.9884362821894027 0.9884362821894029 0.0 0.0 -0.2109826953578675 -0.2109826953578675 0.4999999999996796 0.4999999999996796 0.4999999999999999 0.4999999999999998
0.33 3.4381247981595875e-06 0.9877525974751086 0.9877525974751086 0.0 0.0 -0.210909975635862 -0.210909975635862 0.4999999999996663 0.4999999999996663 0.5 0.4999999999999999
0.34 3.4372398761884476e-06 0.9870517378497616 0.9870517378497612 0.0 0.0 -0.2108354093127685 -0.2108354093127685 0.4999999999996512 0.4999999999996512 0.4999999999999998 0.5
0.35000000000000003 3.4363275444328216e-06 0.9863337197498974 0.9863337197498974 0.0 0.0 -0.21075791909003383 -0.21075791909003383 0.49999999999966793 0.49999999999966793 0.4999999999999998 0.4999999999999999
0.36 3.43538791010083e-06 0.9855989145143521 0.9855989145143519 0.0 0.0 -0.21067952464014356 -0.21067952464014356 0.4999999999996645 0.4999999999996645 0.49999999999999994 0.4999999999999999
0.37 3.434420672103565e-06 0.9848473646704354 0.9848473646704357 0.0 0.0 -0.2105994133106666 -0.2105994133106666 0.4999999999996527 0.4999999999996527 0.4999999999999999 0.49999999999999983
0.38 3.4334256238534716e-06 0.9840791872677 0.9840791872677 0.0 0.0 -0.2105175038245929 -0.2105175038245929 0.49999999999963923 0.49999999999963923 0.49999999999999967 0.4999999999999997
0.39 3.432402566994639e-06 0.9832945030468246 0.9832945030468246 0.0 0.0 -0.21043379672192286 -0.21043379672192286 0.4999999999996256 0.4999999999996256 0.49999999999999983 0.49999999999999967
0.4 3.431351087538522e-06 0.9824932648230962 0.9824932648230962 0.0 0.0 -0.210347222703798 -0.210347222703798 0.49999999999964656 0.49999999999964656 0.49999999999999983 0.4999999999999999
0.41000000000000003 3.4302713659343373e-06 0.9816758810427092 0.9816758810427092 0.0 0.0 -0.21025981388042558 -0.21025981388042558 0.4999999999996446 0.4999999999996446 0.5 0.4999999999999999
0.42 3.4291630387968184e-06 0.9808423360162939 0.9808423360162939 0.0 0.0 -0.21017073208168494 -0.21017073208168494 0.49999999999963435 0.49999999999963435 0.49999999999999967 0.4999999999999997
0.43 3.4280258779960686e-06 0.9799927162410867 0.9799927162410867 0.0 0.0 -0.21007989900480753 -0.21007989900480753 0.49999999999962247 0.49999999999962247 0.5 0.4999999999999998
0.44 3.42685966801187e-06 0.9791271143261802 0.9791271143261802 0.0 0.0 -0.20998731361398681 -0.20998731361398684 0.4999999999996106 0.4999999999996106 0.4999999999999999 0.49999999999999967
0.45 3.425664193078699e-06 0.9782456187619016 0.9782456187619016 0.0 0.0 -0.20989298225780006 -0.20989298225780006 0.4999999999995986 0.4999999999995986 0.4999999999999999 0.4999999999999998
0.46 3.4244389491922976e-06 0.977348101512975 0.977348101512975 0.0 0.0 -0.20979582385049628 -0.20979582385049628 0.49999999999962413 0.49999999999962413 0.49999999999999967 0.4999999999999997
0.47000000000000003 3.42318424427209e-06 0.9764350303621412 0.9764350303621412 0.0 0.0 -0.2096978966634907 -0.2096978966634907 0.4999999999996238 0.4999999999996238 0.4999999999999999 0.49999999999999983
0.48 3.4218996418814133e-06 0.9755063169205002 0.9755063169204999 0.0 0.0 -0.20959833176378467 -0.20959833176378467 0.49999999999961503 0.49999999999961503 0.4999999999999998 0.4999999999999996
0.49 3.4205849010513383e-06 0.9745620134259539 0.9745620134259539 0.0 0.0 -0.20949705233686378 -0.20949705233686378 0.499999999999605 0.499999999999605 0.4999999999999999 0.49999999999999994
0.5 3.4192397993496856e-06 0.9736021812722288 0.973602181272229 0.0 0.0 -0.20939405506202077 -0.20939405506202077 0.49999999999959494 0.49999999999959494 0.5 0.4999999999999999
0.51 3.417864117592895e-06 0.9726268782872516 0.9726268782872516 0.0 0.0 -0.20928934298737284 -0.20928934298737287 0.49999999999958494 0.49999999999958494 0.5 0.4999999999999999
0.52 3.4164572656174723e-06 0.9716358953195106 0.9716358953195108 0.0 0.0 -0.20918183452244407 -0.20918183452244407 0.49999999999961386 0.49999999999961386 0.4999999999999998 0.4999999999999997
0.53 3.4150197120147425e-06 0.9706297679900883 0.9706297679900883 0.0 0.0 -0.20907358954815874 -0.20907358954815874 0.4999999999996147 0.4999999999996147 0.49999999999999994 0.49999999999999983
0.54 3.413550952532098e-06 0.9696083341070567 0.9696083341070569 0.0 0.0 -0.20896372071525965 -0.20896372071525965 0.4999999999996075 0.4999999999996075 0.49999999999999994 0.49999999999999983
0.55 3.412050746637747e-06 0.9685716142311549 0.9685716142311549 0.0 0.0 -0.20885215354726666 -0.20885215354726666 0.49999999999959926 0.49999999999959926 0.4999999999999997 0.4999999999999998
0.56 3.4105188801001207e-06 0.9675196408395281 0.9675196408395281 0.0 0.0 -0.20873888253368242 -0.20873888253368236 0.49999999999959116 0.49999999999959116 0.5 0.4999999999999999
0.5700000000000001 3.4089551431256073e-06 0.9664524432563133 0.9664524432563133 0.0 0.0 -0.20862390757951324 -0.20862390757951324 0.4999999999995831 0.4999999999995831 0.49999999999999967 0.49999999999999994
0.58 3.407359329573579e-06 0.9653700463580223 0.9653700463580223 0.0 0.0 -0.20850722856606754 -0.20850722856606754 0.4999999999995751 0.4999999999995751 0.4999999999999998 0.5
0.59 3.4057307480885823e-06 0.9642721400394572 0.9642721400394569 0.0 0.0 -0.20838775312120417 -0.20838775312120417 0.49999999999960726 0.49999999999960726 0.4999999999999996 0.4999999999999997
0.6 3.404070110998211e-06 0.9631593586050929 0.9631593586050929 0.0 0.0 -0.20826755969864458 -0.20826755969864455 0.4999999999996094 0.4999999999996094 0.49999999999999994 0.49999999999999983
0.61 3.40237683512297e-06 0.9620314482908571 0.9620314482908571 0.0 0.0 -0.20814573634564845 -0.20814573634564842 0.49999999999960393 0.49999999999960393 0.4999999999999997 0.4999999999999996
0.62 3.4006506993586692e-06 0.960888394575623 0.960888394575623 0.0 0.0 -0.2080222093353995 -0.2080222093353995 0.4999999999995978 0.4999999999995978 0.49999999999999994 0.49999999999999994
0.63 3.398891517203291e-06 0.9597301982876585 0.9597301982876583 0.0 0.0 -0.2078969703181105 -0.2078969703181105 0.49999999999959166 0.49999999999959166 0.49999999999999983 0.49999999999999983
0.64 3.397099110404501e-06 0.9585568574983997 0.9585568574983994 0.0 0.0 -0.2077700156152771 -0.2077700156152771 0.49999999999958583 0.49999999999958583 0.49999999999999983 0.49999999999999956
0.65 3.395273307128731e-06 0.9573683660782565 0.9573683660782565 0.0 0.0 -0.20764134143907298 -0.20764134143907298 0.49999999999958017 0.49999999999958017 0.4999999999999998 0.4999999999999996
0.66 3.3934133200257545e-06 0.9561643097131997 0.9561643097131994 0.0 0.0 -0.20750985134642663 -0.2075098513464266 0.4999999999996141 0.4999999999996141 0.49999999999999994 0.4999999999999999
0.67 3.3915201599920857e-06 0.9549454337969281 0.9549454337969279 0.0 0.0 -0.20737762844328853 -0.20737762844328853 0.4999999999996175 0.4999999999996175 0.5 0.4999999999999999
0.68 3.3895931723388724e-06 0.9537113891471963 0.9537113891471963 0.0 0.0 -0.2072437437598664 -0.2072437437598664 0.49999999999961403 0.49999999999961403 0.4999999999999998 0.4999999999999996
0.6900000000000001 3.3876321783564874e-06 0.9524621279251151 0.9524621279251149 0.0 0.0 -0.2071081244825601 -0.20710812448256014 0.4999999999996099 0.4999999999996099 0.4999999999999998 0.4999999999999999
0.7000000000000001 3.3565215561477914e-06 0.9511976207500731 0.9511976207500729 0.0 0.0 -0.20697075917990645 -0.20697075917990648 0.5000000012404049 0.5000000012404049 0.49999999999999983 0.49999999999999994
0.71 3.354138024954226e-06 0.9499178359814197 0.9499178359814194 0.0 0.0 -0.20683164103843524 -0.20683164103843524 0.5000000000796367 0.5000000000796367 0.49999999999999967 0.4999999999999998
0.72 3.3517113809734075e-06 0.9486227376545032 0.9486227376545032 0.0 0.0 -0.20669076243907436 -0.20669076243907436 0.5000000000046424 0.5000000000046424 0.49999999999999967 0.4999999999999996
0.73 3.349241460880981e-06 0.9473122857008979 0.9473122857008974 0.0 0.0 -0.2065481154681228 -0.2065481154681228 0.49999999999979017 0.49999999999979017 0.4999999999999999 0.5
0.74 3.3467270084848986e-06 0.9459859333724248 0.9459859333724245 0.0 0.0 -0.20640258594769947 -0.20640258594769947 0.49999999999951833 0.49999999999951833 0.4999999999999998 0.4999999999999997
0.75 3.344169507321071e-06 0.9446445822378994 0.9446445822378994 0.0 0.0 -0.20625628493528614 -0.20625628493528614 0.49999999999950245 0.49999999999950245 0.4999999999999996 0.4999999999999997
0.76 3.3415678675570295e-06 0.9432877624559871 0.9432877624559873 0.0 0.0 -0.20610825687567852 -0.20610825687567852 0.4999999999994955 0.4999999999994955 0.49999999999999994 0.4999999999999999
0.77 3.338921734885895e-06 0.9419153883599636 0.9419153883599636 0.0 0.0 -0.20595842794947083 -0.20595842794947083 0.4999999999994889 0.4999999999994889 0.4999999999999999 0.5
